abbey	tu viện
about	trong khoảng
above	ở trên
absolute	tuyệt đối
absolutely	chắc chắn rồi
absoluteparadise	tuyệt đối
absolutley	chắc chắn rồi
abysmal	vực thẳm
acacia	cây keo
acccomdating	gia nhập
acceptable	chấp nhận được
acces	truy cập
accidently	tình cờ
accomadated	có chỗ ở
accomadation	chỗ ở
accomadtion	chỗ ở
accommodation	chỗ ở
accomodations	chỗ ở
accor	tố cáo
accosted	tích lũy
accoustic	âm thanh
accueillant	người tố cáo
aceptable	có thể chấp nhận được
acient	cổ xưa
acoustic	âm thanh
acoutic	âm thanh
acti	hoạt động
action	hoạt động
activities	hoạt động
actually	thực ra
actualy	thực tế
adamant	cương quyết
add	thêm vào
addition	thêm vào
additional	bổ sung
addon	thêm vào
address	địa chỉ
adiacent	liền kề
adjacebt	liền kề
admin	quản trị viên
adorable	đáng yêu
advance	nâng cao
adventures	những cuộc phiêu lưu
adverftised	được quảng cáo
adveristed	tôn thờ
advisor	cố vấn
affordable	giá cả phải chăng
aficionado	người cuồng nhiệt
afraid	sợ
afterall	sau tất cả
afwul	kinh khủng
again	lần nữa
againi	một lần nữa tôi
againj	lạij
agency	đại lý
ages	lứa tuổi
ago	trước đây
agood	tốt
agradable	nông nổi
agrafirt	váy ngắn
agreable	dễ chịu
ailen	người ngoài hành tinh
air	không khí
airblade	lưỡi không khí
aircon	máy bay
aircond	điều hòa
airlines	các hãng hàng không
airmiles	dặm bay
airpirt	sân bay
airport	sân bay
airway	khí đạo
airy	thoáng đãng
aisling	lối đi
alas	chao ôi
albiet	mặc dù
alcarte	gọi món
alcove	hốc tường
alert	cảnh giác
alittle	một chút
all	tất cả
alley	ngõ
alleyway	ngõ
allowed	được phép
allows	cho phép
allready	tất cả đã
allright	được rồi
allsorts	tất cả các loại
allure	quyến rũ
allways	mọi cách
almond	hạnh nhân
almost	hầu hết
alo	a lô
aloe	nha đam
alot	rất nhiều
alothough	mặc du
alquilar	giống nhau
alquiler	thuật ngữ
already	đã sẵn sàng
alright	ổn thỏa
also	cũng thế
although	mặc du
am	là
amable	thân thiện
amamzing	kinh ngạc
amazibg	kinh ngạc
amazimg	kinh ngạc
amazing	kinh ngạc
amazing	tuyệt vời
ambassdor	đại sứ
amber	hổ phách
ambiance	môi trường xung quanh
ambience	môi trường xung quanh
amble	đi thong thả
amenable	chịu trách nhiệm
amenaties	tiện nghi
ameneties	tiện nghi
amenite	đá thạch anh
amenity	lể nghi
amenties	tiện nghi
amentities	tiện nghi
amieneties	hòa nhã
